face_type	onset	duration
famous	-6.66666666666732e-05	0
famous	4.49993333333333	0
unfamiliar	13.4999333333333	0
famous	17.9999333333333	0
famous	22.4999333333333	0
unfamiliar	26.9999333333333	0
unfamiliar	31.4999333333333	0
unfamiliar	35.9999333333333	0
famous	44.9999333333333	0
unfamiliar	53.9999333333333	0
unfamiliar	58.4999333333333	0
unfamiliar	62.9999333333333	0
famous	67.4999333333333	0
unfamiliar	71.9999333333333	0
unfamiliar	80.9999333333333	0
unfamiliar	85.4999333333333	0
famous	89.9999333333333	0
unfamiliar	94.4999333333333	0
famous	98.9999333333333	0
famous	103.499933333333	0
unfamiliar	112.499933333333	0
famous	121.499933333333	0
famous	125.999933333333	0
unfamiliar	130.499933333333	0
unfamiliar	134.999933333333	0
unfamiliar	148.499933333333	0
famous	152.999933333333	0
famous	157.499933333333	0
famous	170.999933333333	0
unfamiliar	179.999933333333	0
unfamiliar	184.499933333333	0
unfamiliar	188.999933333333	0
unfamiliar	193.499933333333	0
famous	197.999933333333	0
famous	202.499933333333	0
famous	206.999933333333	0
famous	211.499933333333	0
unfamiliar	224.999933333333	0
famous	233.999933333333	0
unfamiliar	238.499933333333	0
unfamiliar	247.499933333333	0
unfamiliar	251.999933333333	0
famous	260.999933333333	0
unfamiliar	269.999933333333	0
unfamiliar	274.499933333333	0
unfamiliar	283.499933333333	0
unfamiliar	287.999933333333	0
unfamiliar	292.499933333333	0
unfamiliar	296.999933333333	0
famous	301.499933333333	0
famous	305.999933333333	0
unfamiliar	310.499933333333	0
famous	314.999933333333	0
unfamiliar	319.499933333333	0
unfamiliar	323.999933333333	0
unfamiliar	328.499933333333	0
famous	337.499933333333	0
famous	341.999933333333	0
famous	355.499933333333	0
famous	359.999933333333	0
famous	364.499933333333	0
unfamiliar	368.999933333333	0
famous	377.999933333333	0
unfamiliar	382.499933333333	0
famous	395.999933333333	0
unfamiliar	404.999933333333	0
unfamiliar	409.499933333333	0
unfamiliar	431.999933333333	0
famous	445.499933333333	0
famous	454.499933333333	0
unfamiliar	467.999933333333	0
unfamiliar	472.499933333333	0
unfamiliar	476.999933333333	0
famous	481.499933333333	0
unfamiliar	485.999933333333	0
unfamiliar	490.499933333333	0
famous	508.499933333333	0
unfamiliar	512.999933333333	0
unfamiliar	521.999933333333	0
famous	530.999933333333	0
famous	535.499933333333	0
famous	539.999933333333	0
famous	548.999933333333	0
unfamiliar	562.499933333333	0
famous	566.999933333333	0
famous	571.499933333333	0
famous	575.999933333333	0
unfamiliar	580.499933333333	0
famous	589.499933333333	0
famous	598.499933333333	0
famous	602.999933333333	0
unfamiliar	607.499933333333	0
unfamiliar	620.999933333333	0
famous	629.999933333333	0
famous	634.499933333333	0
unfamiliar	638.999933333333	0
famous	652.499933333333	0
famous	665.999933333333	0
famous	670.499933333333	0
famous	674.999933333333	0
unfamiliar	679.499933333333	0
unfamiliar	683.999933333333	0
famous	688.499933333333	0
famous	692.999933333333	0
